"Dato";"Forklaring";"Rentedato";"Uttak";"Innskudd"
"11.07.2019";"Varekj�p Coop Prix Vester�yvn Sandefjord Dato 11.07 kl. 20.06";"12.07.2019";"564,30";""
"10.07.2019";"Varekj�p Br�dr Berggren Brygga 11 Sandefjor Dato 10.07 kl. 10.20";"10.07.2019";"620,00";""
"10.07.2019";"Varekj�p Meny Indre Havn Kilgt. Sandefjord Dato 10.07 kl. 10.51";"10.07.2019";"776,41";""
"09.07.2019";"Varekj�p Meny Indre Havn Kilgt. Sandefjord Dato 09.07 kl. 14.05";"09.07.2019";"1.498,38";""
"09.07.2019";"Varekj�p Rema �ster�yvei �ster�yveien Sandef Dato 09.07 kl. 14.14";"09.07.2019";"391,40";""
"09.07.2019";"Varekj�p Clas Ohl 2895 Hegnasletta Sandefjo Dato 09.07 kl. 13.38";"09.07.2019";"349,80";""
"08.07.2019";"Visa  100122  Sek 72,00 Liseberg AbValutakurs: 0,9344";"11.07.2019";"67,28";""
"08.07.2019";"Visa  100031  Color Line-billett";"11.07.2019";"";"195,00"
"08.07.2019";"Visa  100322  Sek 147,95 Ica Nara HedenValutakurs: 0,9339";"10.07.2019";"138,18";""
"08.07.2019";"Kontoregulering  514 Mat Fra Hanne ";"08.07.2019";"";"2.000,00"
"08.07.2019";"Kontoregulering  743 Mat ";"08.07.2019";"";"2.000,00"
"07.07.2019";"Visa  100222  Sek 89,00 Liseberg AbValutakurs: 0,9339";"10.07.2019";"83,12";""
"07.07.2019";"Visa  100122  Sek 198,00 Liseberg AbValutakurs: 0,9339";"10.07.2019";"184,93";""
"07.07.2019";"Visa  100022  Sek 553,00 Liseberg AbValutakurs: 0,9339";"10.07.2019";"516,48";""
"07.07.2019";"Visa  100122  Sek 78,00 VikingagrillenValutakurs: 0,9361";"09.07.2019";"73,02";""
"07.07.2019";"Kontoregulering  940 Audun Kvasb� Mobil Overf�ring";"08.07.2019";"";"1.000,00"
"05.07.2019";"Varekj�p Rema Vinderen Rema 1000 Vi Oslo Dato 05.07 kl. 15.51";"08.07.2019";"204,51";""
"05.07.2019";"Varekj�p Rema Ensjo Gladengveien Oslo Dato 05.07 kl. 11.35";"05.07.2019";"72,30";""
"04.07.2019";"Varekj�p Apotek 1.vinder Slemdalsvn. Oslo Dato 04.07 kl. 16.28";"05.07.2019";"66,90";""
"04.07.2019";"Varekj�p Rema Vinderen Rema 1000 Vi Oslo Dato 04.07 kl. 16.40";"05.07.2019";"92,73";""
"04.07.2019";"Varekj�p Anh Tai Bui Kapellveien Kolbotn Dato 04.07 kl. 16.42";"05.07.2019";"45,00";""
"04.07.2019";"Varekj�p Rema Vinderen Rema 1000 Vi Oslo Dato 04.07 kl. 09.04";"04.07.2019";"395,70";""
"03.07.2019";"Visa  100021  Foodora Norway";"09.07.2019";"768,00";""
"03.07.2019";"Varekj�p Tgr Majorstuen Frognervn. Oslo Dato 03.07 kl. 13.14";"03.07.2019";"75,00";""
"03.07.2019";"Varekj�p Rema Vinderen Rema 1000 Vi Oslo Dato 03.07 kl. 09.31";"03.07.2019";"237,40";""
"02.07.2019";"Varekj�p Shell Vinderen Slemdalsveie Oslo Dato 02.07 kl. 22.24";"03.07.2019";"76,00";""
"01.07.2019";"Overf�ring Innland  412 Mobil Betaling ";"01.07.2019";"1.544,00";""
"01.07.2019";"Kontoregulering  933 Audun Kvasb� Mobil Overf�ring";"01.07.2019";"";"1.000,00"
"01.07.2019";"Varekj�p Matkroken Kongensgt.23 Oslo Dato 01.07 kl. 11.56";"01.07.2019";"40,00";""
"01.07.2019";"Varekj�p Rema Vinderen Rema 1000 Vi Oslo Dato 01.07 kl. 09.00";"01.07.2019";"19,90";""
"01.07.2019";"Varekj�p Rema Vinderen Rema 1000 Vi Oslo Dato 01.07 kl. 08.59";"01.07.2019";"1.255,90";""
"01.07.2019";"Kontoregulering  513 Mat Fra Hanne ";"01.07.2019";"";"2.000,00"
"01.07.2019";"Kontoregulering  740 Mat ";"01.07.2019";"";"2.000,00"
